"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)",actions:omni_landing_page_view," (USD)"
2025-08-01,2025-10-05,"Botox 400 - July #3 simple",inactive,-,,,0,0,,25,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox 400 - July #4 simple",not_delivering,-,,,0,0,,25,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox July Video #1",not_delivering,-,,,0,0,,8,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox July Video #2",not_delivering,-,,,0,0,,8,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox July Video #3",not_delivering,-,,,0,0,,8,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"REBALANCE by RELUXE Img #1",not_delivering,-,,,0,0,,8,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"REBALANCE by RELUXE Video #1",not_delivering,-,,,0,0,,8,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"REBALANCE by RELUXE Video #2",inactive,-,,,0,0,,8,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox Get Prepared",not_delivering,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox Get Prepared - #2",not_delivering,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox Lines",not_delivering,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox Lines - img",not_delivering,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"REBALANCE by RELUXE Img #1",inactive,-,,,0,0,,3,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads #2",inactive,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads #3",inactive,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"$99 Facial Get Times",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"$99 Facial Get Times - Vid - Words",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"$99 Facial Get Times - Vid - Plain - Copy",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads - Carousel #1",inactive,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads - Carousel #2",inactive,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads - Carousel #3",inactive,-,,,0,0,,35,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Alexis Weekend #1",not_delivering,-,,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Alexis Weekend #2",not_delivering,-,,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads #1 - New",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads Kri",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads -Alexis",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Jeuveau Leads - Hannah",not_delivering,-,,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Alexis Weekend #4",not_delivering,-,,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Alexis Weekend #3",not_delivering,-,,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox 400 - July #1",not_delivering,-,,,0,0,,25,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-08-01,2025-10-05,"Botox 400 - July #2",inactive,-,,,0,0,,25,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
