"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)",actions:omni_landing_page_view," (USD)"
2022-09-05,2025-10-05,"Wrinkle Reset Dysport",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,212,1.339623,,"Using campaign budget",0,3.42,Ongoing,-,-,-,284,12.042254,4,,0.855,1.408451,10,3.521127,0.342,2,1.71
2022-09-05,2025-10-05,"Botox Membership",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",2,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,283,1.459364,2.505,"Using campaign budget",0,5.01,Ongoing,-,-,-,413,12.130751,1,,5.01,0.242131,10,2.421308,0.501,,
2022-09-05,2025-10-05,"Monthly Tox - Copy",inactive,"7-day click, 1-day view, or 1-day engaged-view",9,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,4299,2.652245,13.99666667,"Using campaign budget",0,125.97,Ongoing,-,-,-,11402,11.048062,62,,2.031774,0.543764,147,1.289248,0.856939,53,2.376792
2022-09-05,2025-10-05,"Botox Membership",inactive,"7-day click, 1-day view, or 1-day engaged-view",8,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,1408,2.076705,4.05375,"Using campaign budget",0,32.43,Ongoing,-,-,-,2924,11.090971,23,,1.41,0.786594,51,1.744186,0.635882,17,1.907647
2022-09-05,2025-10-05,"Wrinkle Reset Dysport",inactive,"7-day click, 1-day view, or 1-day engaged-view",9,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,3672,2.135076,10.96666667,"Using campaign budget",0,98.7,Ongoing,-,-,-,7840,12.589286,56,,1.7625,0.714286,135,1.721939,0.731111,46,2.145652
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau",inactive,"7-day click, 1-day view, or 1-day engaged-view",2,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,959,1.901981,12.495,"Using campaign budget",0,24.99,Ongoing,-,-,-,1824,13.700658,18,,1.388333,0.986842,36,1.973684,0.694167,14,1.785
2022-09-05,2025-10-05,"Monthly Tox - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,129,1.209302,,"Using campaign budget",0,2.31,Ongoing,-,-,-,156,14.807692,1,,2.31,0.641026,5,3.205128,0.462,,
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",2,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,844,1.39455,6.935,"Using campaign budget",0,13.87,Ongoing,-,-,-,1177,11.784197,21,,0.660476,1.784197,56,4.757859,0.247679,17,0.815882
2022-09-05,2025-10-05,"Wrinkle Reset Dysport",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,157,1.248408,,"Using campaign budget",0,2.74,Ongoing,-,-,-,196,13.979592,2,,1.37,1.020408,9,4.591837,0.304444,3,0.913333
2022-09-05,2025-10-05,"Botox Membership",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,196,1.311224,,"Using campaign budget",0,3.04,Ongoing,-,-,-,257,11.828794,2,,1.52,0.77821,8,3.11284,0.38,1,3.04
2022-09-05,2025-10-05,"Botox Membership - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,61,1.508197,,"Using campaign budget",0,0.97,Ongoing,-,-,-,92,10.543478,,,,,0,0,0,,
2022-09-05,2025-10-05,"Botox Membership - Copy",inactive,"7-day click, 1-day view, or 1-day engaged-view",7,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,1177,1.983857,4.32142857,"Using campaign budget",0,30.25,Ongoing,-,-,-,2335,12.955032,15,,2.016667,0.642398,36,1.541756,0.840278,11,2.75
2022-09-05,2025-10-05,"Botox Membership - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,102,1.254902,2.11,"Using campaign budget",0,2.11,Ongoing,-,-,-,128,16.484375,2,,1.055,1.5625,5,3.90625,0.422,2,1.055
2022-09-05,2025-10-05,"Botox Membership - Copy 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,527,1.711575,,"Using campaign budget",0,10.24,Ongoing,-,-,-,902,11.35255,4,,2.56,0.443459,7,0.776053,1.462857,3,3.413333
2022-09-05,2025-10-05,"Botox Membership - Copy 2",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,278,1.359712,,"Using campaign budget",0,4.94,Ongoing,-,-,-,378,13.068783,,,,,5,1.322751,0.988,,
2022-09-05,2025-10-05,"Botox Membership - Copy 2",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,134,1.820896,2.53,"Using campaign budget",0,2.53,Ongoing,-,-,-,244,10.368852,,,,,3,1.229508,0.843333,,
2022-09-05,2025-10-05,"Jeuveau $200",inactive,"7-day click, 1-day view, or 1-day engaged-view",3,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,2027,2.460779,18.91666667,"Using campaign budget",0,56.75,Ongoing,-,-,-,4988,11.377306,22,,2.579545,0.441059,49,0.982358,1.158163,19,2.986842
2022-09-05,2025-10-05,"Botox Membership $100 - #1",not_delivering,"7-day click or 1-day view",,,196,1.260204,,"Using campaign budget",0,4.5,Ongoing,-,-,-,247,18.218623,2,,2.25,0.809717,4,1.619433,1.125,,
2022-09-05,2025-10-05,"Botox Membership $100 - #2",not_delivering,"7-day click or 1-day view",,,896,1.416295,,"Using campaign budget",0,18.38,Ongoing,-,-,-,1269,14.483846,4,,4.595,0.315209,10,0.788022,1.838,,
2022-09-05,2025-10-05,"Botox Membership $100 - #3",not_delivering,"7-day click or 1-day view",,,689,1.193033,,"Using campaign budget",0,13.99,Ongoing,-,-,-,822,17.019465,13,,1.076154,1.581509,14,1.703163,0.999286,1,13.99
2022-09-05,2025-10-05,"Jeuveau $200 - secret",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,41,1.146341,,"Using campaign budget",0,0.55,Ongoing,-,-,-,47,11.702128,2,,0.275,4.255319,3,6.382979,0.183333,2,0.275
2022-09-05,2025-10-05,"Jeuveau $200 - question",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,38,1.026316,,"Using campaign budget",0,0.42,Ongoing,-,-,-,39,10.769231,,,,,1,2.564103,0.42,,
2022-09-05,2025-10-05,"Jeuveau $200 - question",inactive,"7-day click or 1-day view",3,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,1041,1.95389,8.81333333,25,Daily,26.44,Ongoing,-,-,-,2034,12.999017,12,,2.203333,0.589971,21,1.032448,1.259048,14,1.888571
2022-09-05,2025-10-05,"Jeuveau $200 - secret",inactive,"7-day click or 1-day view",,,133,1.097744,,25,Daily,3,Ongoing,-,-,-,146,20.547945,,,,,0,0,0,,
2022-09-05,2025-10-05,"Jeuveau $200",inactive,"7-day click or 1-day view",,,110,1.127273,,25,Daily,1.42,Ongoing,-,-,-,124,11.451613,,,,,0,0,0,,
2022-09-05,2025-10-05,"Botox Membership",inactive,"7-day click or 1-day view",1,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,931,1.546724,16.52,25,Daily,16.52,Ongoing,-,-,-,1440,11.472222,8,,2.065,0.555556,10,0.694444,1.652,8,2.065
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau",inactive,"7-day click or 1-day view",1,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,1565,1.837061,40.75,25,Daily,40.75,Ongoing,-,-,-,2875,14.173913,21,,1.940476,0.730435,54,1.878261,0.75463,17,2.397059
2022-09-05,2025-10-05,"Jeuveau $200 - secret - w/girls",inactive,"7-day click or 1-day view",,,108,1.157407,,25,Daily,2.1,Ongoing,-,-,-,125,16.8,,,,,0,0,0,,
2022-09-05,2025-10-05,"Jeuveau $200 - friends",inactive,"7-day click or 1-day view",10,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,2155,5.887703,13.333,25,Daily,133.33,Ongoing,-,-,-,12688,10.508354,48,,2.777708,0.37831,111,0.874842,1.201171,45,2.962889
2022-09-05,2025-10-05,"$55 Massage Sales - img",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",164,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,13910,2.748958,2.05097561,10,Daily,336.36,Ongoing,-,-,-,38238,8.796485,581,,0.578933,1.519431,1068,2.793033,0.314944,590,0.570102
2022-09-05,2025-10-05,"$55 Massage Sales - search",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",9,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,492,3.957317,2.32333333,10,Daily,20.91,Ongoing,-,-,-,1947,10.739599,10,,2.091,0.513611,24,1.232666,0.87125,11,1.900909
2022-09-05,2025-10-05,"Wrinkle Reset Jeuveau - Copy",inactive,"7-day click or 1-day view",1,conversions:offsite_conversion.fb_pixel_custom.add_to_cart,1079,2.41798,30.59,25,Daily,30.59,Ongoing,-,-,-,2609,11.724799,10,,3.059,0.383289,30,1.149866,1.019667,11,2.780909
